fold,epoch,train_mse,val_mse
2,1,1.0003235420805383,0.8695963553174065
2,2,0.9845365541866726,0.8306690503088581
2,3,0.9474357352368169,0.8084159567106166
2,4,0.9336636802713585,0.7970652058134043
2,5,0.9111053007273117,0.741416142720788
2,6,0.8370893356415755,0.6597681075860371
2,7,0.7789800882813146,0.6157522315317833
2,8,0.7437595559790043,0.5988826697279359
2,9,0.7257659215040874,0.5929782740110691
2,10,0.7121804821153956,0.5912354196081204
2,11,0.6988557477956799,0.5782032404870332
2,12,0.6836209485912564,0.5626136641327784
2,13,0.6624957538111664,0.5552255104953837
2,14,0.6412515549796276,0.5385688594501801
2,15,0.6345900679325546,0.5402561368199283
2,16,0.6252112849718938,0.537634812623153
2,17,0.617425050213295,0.5403284553941182
2,18,0.6122662100022955,0.5352164655090714
2,19,0.6023971809249484,0.5335258718229339
2,20,0.5924986199188651,0.5160231388092313
2,21,0.5872119221138842,0.5131820058175631
2,22,0.5791868794117103,0.5099151514022197
2,23,0.5761747240023866,0.50806080705717
2,24,0.5652750927425864,0.49617881352598586
2,25,0.55442929364822,0.4975220751678831
2,26,0.5517854279840353,0.48948392866950535
2,27,0.5452475863306818,0.49642469982645376
2,28,0.5372102926583815,0.48557258960150396
2,29,0.5288947077069273,0.4836318617297421
2,30,0.5233040087148083,0.4793587328269388
2,31,0.5225342354823802,0.480785507387474
2,32,0.5192967534955417,0.4729822950453195
2,33,0.5102047924812652,0.4767922746813004
2,34,0.49944796561704824,0.47200848146059604
2,35,0.49222696557301093,0.462214445611367
2,36,0.4832728442185675,0.45949728841998977
2,37,0.4794612060844666,0.4618804337436232
2,38,0.46698333315876417,0.444548321579551
2,39,0.4583240495272317,0.43743506841884494
2,40,0.4490478078898579,0.43220979392956616
2,41,0.4425949483936336,0.4324456112520906
2,42,0.4365892552950533,0.4259943330833393
2,43,0.4280864750366305,0.4213211981103953
2,44,0.42345332187471746,0.41951179911364234
2,45,0.417208250650455,0.4189665626274121
2,46,0.41406225367891564,0.42293966652355774
2,47,0.4090766290850841,0.4140511685786016
2,48,0.4018981073685376,0.40853335311323724
2,49,0.3962610802626278,0.4112573923644623
2,50,0.39121487970269525,0.4110913230052906
2,51,0.38753480699696574,0.40519589889837615
2,52,0.38535487187548173,0.40851729071065407
2,53,0.381923192641078,0.407194801815967
2,54,0.3748020262254986,0.4025298072909429
2,55,0.37110050551497853,0.40116349459347544
2,56,0.3674731540338564,0.3997251510008186
2,57,0.3644807979698303,0.3983601298081466
2,58,0.3615336124473315,0.399527213128983
2,59,0.35650965254045625,0.4007282471076897
2,60,0.351991563427405,0.3932658611472498
2,61,0.35133865222241967,0.40091002919578034
2,62,0.35030021004548767,0.3969490617659706
2,63,0.34392323362882016,0.39894150035230247
2,64,0.34185996107747396,0.39669257666382257
2,65,0.3403716617707088,0.3941193282461523
2,66,0.33862593319347933,0.3904986926068569
2,67,0.3374322370155107,0.39540247593084626
2,68,0.3318304875917514,0.39734563499076053
2,69,0.32903663832912494,0.3923267447713793
2,70,0.33199303878238123,0.3943162650288832
2,71,0.3274043303438594,0.3921116859829904
2,72,0.32697436742981206,0.3968727470015947
2,73,0.322873544302625,0.39330125287239925
2,74,0.32155638271230064,0.395446075985281
2,75,0.31834462148290454,0.39133775742643784
2,76,0.3183577035399033,0.3941296764201623
2,77,0.3172966783790872,0.39057354062433536
2,78,0.31591232698396715,0.3929162976923384
2,79,0.3132931626311817,0.39073263725324303
2,80,0.3159037394340523,0.39498065706569724
2,81,0.3106243085875906,0.39716854758849124
2,82,0.30880333246813657,0.39598836935322734
2,83,0.30841625738308887,0.39396178444597263
2,84,0.30590312932259073,0.39009495168925
2,85,0.3044777507903503,0.3917055000300624
2,86,0.3046474087558446,0.39197236545942127
2,87,0.30241975993165054,0.3901737031053175
2,88,0.30247964256633153,0.3874687882281841
2,89,0.29865759235665823,0.3887703538675475
2,90,0.29530716806582785,0.3927456798808903
2,91,0.2987524344401383,0.39549892946880594
2,92,0.2960475123099303,0.3921373115464301
2,93,0.29357604303939494,0.38991431387041803
2,94,0.2906474203269449,0.3901783579458617
2,95,0.2909647203446447,0.3908519286211304
2,96,0.29022634980482065,0.39026282393583167
2,97,0.2894752333668427,0.39068741130340745
2,98,0.28792064605514145,0.3903907782017895
2,99,0.2883622651652391,0.3916477310655622
2,100,0.28995016813114866,0.3877376475147475
2,101,0.285598259498675,0.38969495280750577
2,102,0.2859407458250969,0.3906490158609419
2,103,0.28347402818767947,0.38941895609454
2,104,0.2850057429358217,0.38648700983933404
2,105,0.2819766288702967,0.3880470074741579
2,106,0.2816945863123699,0.3893007525551451
2,107,0.2818521495485107,0.38969479430403453
2,108,0.2794067896130298,0.391984799587101
2,109,0.28014458733576164,0.3888990942819512
2,110,0.27859758861123546,0.38904252206828577
2,111,0.27736087000973547,0.3883300070907601
2,112,0.2758394630296496,0.3891930115903838
2,113,0.2756020052756252,0.38437138284648975
2,114,0.27619595340304876,0.3907511287335334
2,115,0.275177862320876,0.38647625654572837
2,116,0.27524516702580304,0.3836083044859901
2,117,0.27315859595716774,0.38504060689210023
2,118,0.27197080126255924,0.3859537323702719
2,119,0.2720994492769323,0.3840396768239876
2,120,0.2718398613130065,0.38796709495447496
